序号,学校名称,学校标识码,主管部门,所在地,办学层次,备注
1,北京大学,4111010001,教育部,北京市,本科,
2,中国人民大学,4111010002,教育部,北京市,本科,
3,清华大学,4111010003,教育部,北京市,本科,
4,北京交通大学,4111010004,教育部,北京市,本科,
5,北京工业大学,4111010005,北京市,北京市,本科,
6,北京航空航天大学,4111010006,工业和信息化部,北京市,本科,
7,北京理工大学,4111010007,工业和信息化部,北京市,本科,
8,北京科技大学,4111010008,教育部,北京市,本科,
9,北方工业大学,4111010009,北京市,北京市,本科,
10,北京化工大学,4111010010,教育部,北京市,本科,
11,北京工商大学,4111010011,北京市,北京市,本科,
12,北京服装学院,4111010012,北京市,北京市,本科,
13,北京邮电大学,4111010013,教育部,北京市,本科,
14,北京印刷学院,4111010015,北京市,北京市,本科,
15,北京建筑大学,4111010016,北京市,北京市,本科,
16,北京石油化工学院,4111010017,北京市,北京市,本科,
17,北京电子科技学院,4111010018,中央办公厅,北京市,本科,
18,中国农业大学,4111010019,教育部,北京市,本科,
19,北京农学院,4111010020,北京市,北京市,本科,
20,北京林业大学,4111010022,教育部,北京市,本科,
21,北京协和医学院,4111010023,国家卫生和计划生育委员会,北京市,本科,
22,首都医科大学,4111010025,北京市,北京市,本科,
23,北京中医药大学,4111010026,教育部,北京市,本科,
24,北京师范大学,4111010027,教育部,北京市,本科,
25,首都师范大学,4111010028,北京市,北京市,本科,
26,首都体育学院,4111010029,北京市,北京市,本科,
27,北京外国语大学,4111010030,教育部,北京市,本科,
28,北京第二外国语学院,4111010031,北京市,北京市,本科,
29,北京语言大学,4111010032,教育部,北京市,本科,
30,中国传媒大学,4111010033,教育部,北京市,本科,
31,中央财经大学,4111010034,教育部,北京市,本科,
32,对外经济贸易大学,4111010036,教育部,北京市,本科,
33,北京物资学院,4111010037,北京市,北京市,本科,
34,首都经济贸易大学,4111010038,北京市,北京市,本科,
35,外交学院,4111010040,外交部,北京市,本科,
36,中国人民公安大学,4111010041,公安部,北京市,本科,
37,国际关系学院,4111010042,教育部,北京市,本科,
38,北京体育大学,4111010043,国家体育总局,北京市,本科,
39,中央音乐学院,4111010045,教育部,北京市,本科,
40,中国音乐学院,4111010046,北京市,北京市,本科,
41,中央美术学院,4111010047,教育部,北京市,本科,
42,中央戏剧学院,4111010048,教育部,北京市,本科,
43,中国戏曲学院,4111010049,北京市,北京市,本科,
44,北京电影学院,4111010050,北京市,北京市,本科,
45,北京舞蹈学院,4111010051,北京市,北京市,本科,
46,中央民族大学,4111010052,国家民委,北京市,本科,
47,中国政法大学,4111010053,教育部,北京市,本科,
48,华北电力大学,4111010054,教育部,北京市,本科,
49,中华女子学院,4111011149,中华妇女联合会,北京市,本科,
50,北京信息科技大学,4111011232,北京市,北京市,本科,
51,中国矿业大学（北京）,4111011413,教育部,北京市,本科,
52,中国石油大学（北京）,4111011414,教育部,北京市,本科,
53,中国地质大学（北京）,4111011415,教育部,北京市,本科,
54,北京联合大学,4111011417,北京市,北京市,本科,
55,北京城市学院,4111011418,北京市教委,北京市,本科,民办
56,中国青年政治学院,4111011625,共青团中央,北京市,本科,
57,首钢工学院,4111011831,北京市,北京市,本科,
58,中国劳动关系学院,4111012453,中华全国总工会,北京市,本科,
59,北京吉利学院,4111012802,北京市教委,北京市,本科,民办
60,首都师范大学科德学院,4111013629,北京市教委,北京市,本科,民办
61,北京工商大学嘉华学院,4111013630,北京市教委,北京市,本科,民办
62,北京邮电大学世纪学院,4111013901,北京市教委,北京市,本科,民办
63,北京工业大学耿丹学院,4111013904,北京市教委,北京市,本科,民办
64,北京警察学院,4111014019,北京市,北京市,本科,
65,北京第二外国语学院中瑞酒店管理学院,4111014201,北京市教委,北京市,本科,民办
66,中国科学院大学,4111014430,中国科学院,北京市,本科,
67,中国社会科学院大学,4111014596,中国社会科学院,北京市,本科,
68,北京工业职业技术学院,4111010853,北京市,北京市,专科,
69,北京信息职业技术学院,4111010857,北京市,北京市,专科,
70,北京电子科技职业学院,4111010858,北京市,北京市,专科,
71,北京京北职业技术学院,4111011090,北京市,北京市,专科,
72,北京交通职业技术学院,4111011092,北京市,北京市,专科,
73,北京青年政治学院,4111011626,北京市,北京市,专科,
74,北京农业职业学院,4111012448,北京市,北京市,专科,
75,北京政法职业学院,4111012451,北京市,北京市,专科,
76,北京财贸职业学院,4111012561,北京市,北京市,专科,
77,北京北大方正软件职业技术学院,4111012564,北京市教委,北京市,专科,民办
78,北京经贸职业学院,4111012565,北京市教委,北京市,专科,民办
79,北京经济技术职业学院,4111012566,北京市教委,北京市,专科,民办
80,北京戏曲艺术职业学院,4111012567,北京市,北京市,专科,
81,北京汇佳职业学院,4111012568,北京市教委,北京市,专科,民办
82,北京科技经营管理学院,4111012733,北京市教委,北京市,专科,民办
83,北京科技职业学院,4111013703,北京市教委,北京市,专科,民办
84,北京培黎职业学院,4111013728,北京市教委,北京市,专科,民办
85,北京经济管理职业学院,4111014073,北京市,北京市,专科,
86,北京劳动保障职业学院,4111014075,北京市,北京市,专科,
87,北京社会管理职业学院,4111014139,北京市,北京市,专科,
88,北京艺术传媒职业学院,4111014140,北京市教委,北京市,专科,民办
89,北京体育职业学院,4111014215,北京市,北京市,专科,
90,北京交通运输职业学院,4111014279,北京市,北京市,专科,
91,北京卫生职业学院,4111014395,北京市,北京市,专科,
92,北京网络职业学院,4111014588,北京市教委,北京市,专科,民办
